TIPO_VIA;NOMBRE_VIA;NUMERO;RESTO;texto;entidades
CALLE;DE LAS PLEYADES;nr36,;9*C;CALLE DE LAS PLEYADES nr36, 9*C;('CALLE DE LAS PLEYADES nr36, 9*C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 21, 'NOMBRE_VIA'), (22, 27, 'NUMERO'), (28, 31, 'RESTO')]})
CALLE;DEL SORBE;nº41,;10*B;CALLE DEL SORBE nº41, 10*B;('CALLE DEL SORBE nº41, 10*B', {'entities': [(0, 5, 'TIPO_VIA'), (6, 15, 'NOMBRE_VIA'), (16, 21, 'NUMERO'), (22, 26, 'RESTO')]})
CALLE;DEL VALLE DE ORDESA;n*38;4-C;CALLE DEL VALLE DE ORDESA n*38 4-C;('CALLE DEL VALLE DE ORDESA n*38 4-C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 25, 'NOMBRE_VIA'), (26, 30, 'NUMERO'), (31, 34, 'RESTO')]})
CALLE;DE ZURICH;nº24;7*B;CALLE DE ZURICH nº24 7*B;('CALLE DE ZURICH nº24 7*B', {'entities': [(0, 5, 'TIPO_VIA'), (6, 15, 'NOMBRE_VIA'), (16, 20, 'NUMERO'), (21, 24, 'RESTO')]})
CALLE;DE VICENTE JIMENO;nr24,;9-IZDA;CALLE DE VICENTE JIMENO nr24, 9-IZDA;('CALLE DE VICENTE JIMENO nr24, 9-IZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 23, 'NOMBRE_VIA'), (24, 29, 'NUMERO'), (30, 36, 'RESTO')]})
CALLE;DE GUECHO;48;2A;CALLE DE GUECHO 48 2A;('CALLE DE GUECHO 48 2A', {'entities': [(0, 5, 'TIPO_VIA'), (6, 15, 'NOMBRE_VIA'), (16, 18, 'NUMERO'), (19, 21, 'RESTO')]})
CALLE;DE LA BAHIA DE ALMERIA;21;10*D;CALLE DE LA BAHIA DE ALMERIA 21 10*D;('CALLE DE LA BAHIA DE ALMERIA 21 10*D', {'entities': [(0, 5, 'TIPO_VIA'), (6, 28, 'NOMBRE_VIA'), (29, 31, 'NUMERO'), (32, 36, 'RESTO')]})
CALLE;DE LUCANO;n*32;2*CTRO;CALLE DE LUCANO n*32 2*CTRO;('CALLE DE LUCANO n*32 2*CTRO', {'entities': [(0, 5, 'TIPO_VIA'), (6, 15, 'NOMBRE_VIA'), (16, 20, 'NUMERO'), (21, 27, 'RESTO')]})
CALLE;DE LA MAQUINARIA;nº27;8ºA;CALLE DE LA MAQUINARIA nº27 8ºA;('CALLE DE LA MAQUINARIA nº27 8ºA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 22, 'NOMBRE_VIA'), (23, 27, 'NUMERO'), (28, 31, 'RESTO')]})
CALLE;DE MOGAMBO;n*22,;8*DCHA;CALLE DE MOGAMBO n*22, 8*DCHA;('CALLE DE MOGAMBO n*22, 8*DCHA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 16, 'NOMBRE_VIA'), (17, 22, 'NUMERO'), (23, 29, 'RESTO')]})
CALLE;DE TOMELLOSO;nº13;7ºD;CALLE DE TOMELLOSO nº13 7ºD;('CALLE DE TOMELLOSO nº13 7ºD', {'entities': [(0, 5, 'TIPO_VIA'), (6, 18, 'NOMBRE_VIA'), (19, 23, 'NUMERO'), (24, 27, 'RESTO')]})
CALLE;DE  BAUSA;n24;5 B;CALLE DE  BAUSA n24 5 B;('CALLE DE  BAUSA n24 5 B', {'entities': [(0, 5, 'TIPO_VIA'), (6, 15, 'NOMBRE_VIA'), (16, 19, 'NUMERO'), (20, 23, 'RESTO')]})
CALLE;DE FRANCISCO LOZANO;nº34;9D;CALLE DE FRANCISCO LOZANO nº34 9D;('CALLE DE FRANCISCO LOZANO nº34 9D', {'entities': [(0, 5, 'TIPO_VIA'), (6, 25, 'NOMBRE_VIA'), (26, 30, 'NUMERO'), (31, 33, 'RESTO')]})
CALLE;DE JUAN ANTONIO BARDEM;n27;8A;CALLE DE JUAN ANTONIO BARDEM n27 8A;('CALLE DE JUAN ANTONIO BARDEM n27 8A', {'entities': [(0, 5, 'TIPO_VIA'), (6, 28, 'NOMBRE_VIA'), (29, 32, 'NUMERO'), (33, 35, 'RESTO')]})
PLAZA;DEL PRESIDENTE CARDENAS;n*8,;5 IZDA;PLAZA DEL PRESIDENTE CARDENAS n*8, 5 IZDA;('PLAZA DEL PRESIDENTE CARDENAS n*8, 5 IZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 29, 'NOMBRE_VIA'), (30, 34, 'NUMERO'), (35, 41, 'RESTO')]})
CALLE;DEL CERRO BERMEJO;n*11,;2 IZDA;CALLE DEL CERRO BERMEJO n*11, 2 IZDA;('CALLE DEL CERRO BERMEJO n*11, 2 IZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 23, 'NOMBRE_VIA'), (24, 29, 'NUMERO'), (30, 36, 'RESTO')]})
CALLE;DE ISABEL MENDEZ;25;3*CTRO;CALLE DE ISABEL MENDEZ 25 3*CTRO;('CALLE DE ISABEL MENDEZ 25 3*CTRO', {'entities': [(0, 5, 'TIPO_VIA'), (6, 22, 'NOMBRE_VIA'), (23, 25, 'NUMERO'), (26, 32, 'RESTO')]})
CALLE;DEL MARQUES DE PICO VELASCO;nr10;8 IZDA;CALLE DEL MARQUES DE PICO VELASCO nr10 8 IZDA;('CALLE DEL MARQUES DE PICO VELASCO nr10 8 IZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 33, 'NOMBRE_VIA'), (34, 38, 'NUMERO'), (39, 45, 'RESTO')]})
PLAZA;DE LA REVERENCIA;n10;7-DCHA;PLAZA DE LA REVERENCIA n10 7-DCHA;('PLAZA DE LA REVERENCIA n10 7-DCHA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 22, 'NOMBRE_VIA'), (23, 26, 'NUMERO'), (27, 33, 'RESTO')]})
CALLE;DE JORDAN;27;9ºCTRO;CALLE DE JORDAN 27 9ºCTRO;('CALLE DE JORDAN 27 9ºCTRO', {'entities': [(0, 5, 'TIPO_VIA'), (6, 15, 'NOMBRE_VIA'), (16, 18, 'NUMERO'), (19, 25, 'RESTO')]})
AVENIDA;DE LUIS ARAGONES;22;10-CTRO;AVENIDA DE LUIS ARAGONES 22 10-CTRO;('AVENIDA DE LUIS ARAGONES 22 10-CTRO', {'entities': [(0, 7, 'TIPO_VIA'), (8, 24, 'NOMBRE_VIA'), (25, 27, 'NUMERO'), (28, 35, 'RESTO')]})
CALLE;DE MARTINEZ OVIOL;n*49,;8-IZDA;CALLE DE MARTINEZ OVIOL n*49, 8-IZDA;('CALLE DE MARTINEZ OVIOL n*49, 8-IZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 23, 'NOMBRE_VIA'), (24, 29, 'NUMERO'), (30, 36, 'RESTO')]})
CALLE;DE LAS MORERAS;n*32;3C;CALLE DE LAS MORERAS n*32 3C;('CALLE DE LAS MORERAS n*32 3C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 20, 'NOMBRE_VIA'), (21, 25, 'NUMERO'), (26, 28, 'RESTO')]})
CALLE;DE MAZATERON;n*3;5*DCHA;CALLE DE MAZATERON n*3 5*DCHA;('CALLE DE MAZATERON n*3 5*DCHA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 18, 'NOMBRE_VIA'), (19, 22, 'NUMERO'), (23, 29, 'RESTO')]})
CALLE;DE CANENCIA DE LA SIERRA;32,;3ºA;CALLE DE CANENCIA DE LA SIERRA 32, 3ºA;('CALLE DE CANENCIA DE LA SIERRA 32, 3ºA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 30, 'NOMBRE_VIA'), (31, 34, 'NUMERO'), (35, 38, 'RESTO')]})
CALLE;DE LAS AGUILEÑAS;n*1;7ºA;CALLE DE LAS AGUILEÑAS n*1 7ºA;('CALLE DE LAS AGUILEÑAS n*1 7ºA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 22, 'NOMBRE_VIA'), (23, 26, 'NUMERO'), (27, 30, 'RESTO')]})
CALLE;DE VILLASTAR;nº9;9ºCTRO;CALLE DE VILLASTAR nº9 9ºCTRO;('CALLE DE VILLASTAR nº9 9ºCTRO', {'entities': [(0, 5, 'TIPO_VIA'), (6, 18, 'NOMBRE_VIA'), (19, 22, 'NUMERO'), (23, 29, 'RESTO')]})
CALLE;DE LOS MONEDEROS;35;5ºIZDA;CALLE DE LOS MONEDEROS 35 5ºIZDA;('CALLE DE LOS MONEDEROS 35 5ºIZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 22, 'NOMBRE_VIA'), (23, 25, 'NUMERO'), (26, 32, 'RESTO')]})
CAMINO;DE LOS MOLINOS;29;7*C;CAMINO DE LOS MOLINOS 29 7*C;('CAMINO DE LOS MOLINOS 29 7*C', {'entities': [(0, 6, 'TIPO_VIA'), (7, 21, 'NOMBRE_VIA'), (22, 24, 'NUMERO'), (25, 28, 'RESTO')]})
CALLE;DE VALLEHERMOSO;nº35;4*DCHA;CALLE DE VALLEHERMOSO nº35 4*DCHA;('CALLE DE VALLEHERMOSO nº35 4*DCHA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 21, 'NOMBRE_VIA'), (22, 26, 'NUMERO'), (27, 33, 'RESTO')]})
CALLE;DEL ARTE MUDEJAR DE TERUEL;n46;10ºC;CALLE DEL ARTE MUDEJAR DE TERUEL n46 10ºC;('CALLE DEL ARTE MUDEJAR DE TERUEL n46 10ºC', {'entities': [(0, 5, 'TIPO_VIA'), (6, 32, 'NOMBRE_VIA'), (33, 36, 'NUMERO'), (37, 41, 'RESTO')]})
AVENIDA;DE LA CASA QUEMADA;nr30;2 IZDA;AVENIDA DE LA CASA QUEMADA nr30 2 IZDA;('AVENIDA DE LA CASA QUEMADA nr30 2 IZDA', {'entities': [(0, 7, 'TIPO_VIA'), (8, 26, 'NOMBRE_VIA'), (27, 31, 'NUMERO'), (32, 38, 'RESTO')]})
CALLE;DE TRAFALGAR;nr29,;2ºA;CALLE DE TRAFALGAR nr29, 2ºA;('CALLE DE TRAFALGAR nr29, 2ºA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 18, 'NOMBRE_VIA'), (19, 24, 'NUMERO'), (25, 28, 'RESTO')]})
CALLE;DE SANTA FE;nr31,;9*D;CALLE DE SANTA FE nr31, 9*D;('CALLE DE SANTA FE nr31, 9*D', {'entities': [(0, 5, 'TIPO_VIA'), (6, 17, 'NOMBRE_VIA'), (18, 23, 'NUMERO'), (24, 27, 'RESTO')]})
CALLE;DE SOROLLA;31;4 C;CALLE DE SOROLLA 31 4 C;('CALLE DE SOROLLA 31 4 C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 16, 'NOMBRE_VIA'), (17, 19, 'NUMERO'), (20, 23, 'RESTO')]})
CALLE;DE RIOCABADO;2;5-C;CALLE DE RIOCABADO 2 5-C;('CALLE DE RIOCABADO 2 5-C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 18, 'NOMBRE_VIA'), (19, 20, 'NUMERO'), (21, 24, 'RESTO')]})
AVENIDA;DE BRASILIA;nr33;8*DCHA;AVENIDA DE BRASILIA nr33 8*DCHA;('AVENIDA DE BRASILIA nr33 8*DCHA', {'entities': [(0, 7, 'TIPO_VIA'), (8, 19, 'NOMBRE_VIA'), (20, 24, 'NUMERO'), (25, 31, 'RESTO')]})
CALLE;DEL PUERTO DE PAJARES;nº18;5ºDCHA;CALLE DEL PUERTO DE PAJARES nº18 5ºDCHA;('CALLE DEL PUERTO DE PAJARES nº18 5ºDCHA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 27, 'NOMBRE_VIA'), (28, 32, 'NUMERO'), (33, 39, 'RESTO')]})
CALLE;DE BENICARLO;nr30;10-C;CALLE DE BENICARLO nr30 10-C;('CALLE DE BENICARLO nr30 10-C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 18, 'NOMBRE_VIA'), (19, 23, 'NUMERO'), (24, 28, 'RESTO')]})
CAMINO;DE BOYERIZA;n*45,;4ºC;CAMINO DE BOYERIZA n*45, 4ºC;('CAMINO DE BOYERIZA n*45, 4ºC', {'entities': [(0, 6, 'TIPO_VIA'), (7, 18, 'NOMBRE_VIA'), (19, 24, 'NUMERO'), (25, 28, 'RESTO')]})
PASO ELEVADO;DEL PUENTE DE LOS CAPUCHINOS;n*2;10*CTRO;PASO ELEVADO DEL PUENTE DE LOS CAPUCHINOS n*2 10*CTRO;('PASO ELEVADO DEL PUENTE DE LOS CAPUCHINOS n*2 10*CTRO', {'entities': [(0, 12, 'TIPO_VIA'), (13, 41, 'NOMBRE_VIA'), (42, 45, 'NUMERO'), (46, 53, 'RESTO')]})
CALLE;DE LA VERTIENTE;nr26;8ºIZDA;CALLE DE LA VERTIENTE nr26 8ºIZDA;('CALLE DE LA VERTIENTE nr26 8ºIZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 21, 'NOMBRE_VIA'), (22, 26, 'NUMERO'), (27, 33, 'RESTO')]})
CALLE;DE GREGORIO SANZ;n*36;9*IZDA;CALLE DE GREGORIO SANZ n*36 9*IZDA;('CALLE DE GREGORIO SANZ n*36 9*IZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 22, 'NOMBRE_VIA'), (23, 27, 'NUMERO'), (28, 34, 'RESTO')]})
AVENIDA;DE LEGAZPI MERCAMADRID;n35;6ºC;AVENIDA DE LEGAZPI MERCAMADRID n35 6ºC;('AVENIDA DE LEGAZPI MERCAMADRID n35 6ºC', {'entities': [(0, 7, 'TIPO_VIA'), (8, 30, 'NOMBRE_VIA'), (31, 34, 'NUMERO'), (35, 38, 'RESTO')]})
PLAZA;DEL ALAMILLO;nº39,;2 IZDA;PLAZA DEL ALAMILLO nº39, 2 IZDA;('PLAZA DEL ALAMILLO nº39, 2 IZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 18, 'NOMBRE_VIA'), (19, 24, 'NUMERO'), (25, 31, 'RESTO')]})
CALLE;DE ANTONIO BIENVENIDA;n*29;2ºD;CALLE DE ANTONIO BIENVENIDA n*29 2ºD;('CALLE DE ANTONIO BIENVENIDA n*29 2ºD', {'entities': [(0, 5, 'TIPO_VIA'), (6, 27, 'NOMBRE_VIA'), (28, 32, 'NUMERO'), (33, 36, 'RESTO')]})
CAMINO;DE LA LAGUNA;4;7 DCHA;CAMINO DE LA LAGUNA 4 7 DCHA;('CAMINO DE LA LAGUNA 4 7 DCHA', {'entities': [(0, 6, 'TIPO_VIA'), (7, 19, 'NOMBRE_VIA'), (20, 21, 'NUMERO'), (22, 28, 'RESTO')]})
RONDA;DE VALENCIA;nr3;5 C;RONDA DE VALENCIA nr3 5 C;('RONDA DE VALENCIA nr3 5 C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 17, 'NOMBRE_VIA'), (18, 21, 'NUMERO'), (22, 25, 'RESTO')]})
CALLE;DE BERNARDINO DE PANTORBA;8;7 D;CALLE DE BERNARDINO DE PANTORBA 8 7 D;('CALLE DE BERNARDINO DE PANTORBA 8 7 D', {'entities': [(0, 5, 'TIPO_VIA'), (6, 31, 'NOMBRE_VIA'), (32, 33, 'NUMERO'), (34, 37, 'RESTO')]})
CALLE;DE ENRIQUE D'ALMONTE;15;6C;CALLE DE ENRIQUE D'ALMONTE 15 6C;"(""CALLE DE ENRIQUE D'ALMONTE 15 6C"", {'entities': [(0, 5, 'TIPO_VIA'), (6, 26, 'NOMBRE_VIA'), (27, 29, 'NUMERO'), (30, 32, 'RESTO')]})"
CALLE;DEL DOCTOR FIDEL PAGES MIRAVE;n*1,;7 A;CALLE DEL DOCTOR FIDEL PAGES MIRAVE n*1, 7 A;('CALLE DEL DOCTOR FIDEL PAGES MIRAVE n*1, 7 A', {'entities': [(0, 5, 'TIPO_VIA'), (6, 35, 'NOMBRE_VIA'), (36, 40, 'NUMERO'), (41, 44, 'RESTO')]})
CALLE;DEL HORNERO;n*42;6-DCHA;CALLE DEL HORNERO n*42 6-DCHA;('CALLE DEL HORNERO n*42 6-DCHA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 17, 'NOMBRE_VIA'), (18, 22, 'NUMERO'), (23, 29, 'RESTO')]})
CALLE;DEL ARROYO OPAÑEL;12;5CTRO;CALLE DEL ARROYO OPAÑEL 12 5CTRO;('CALLE DEL ARROYO OPAÑEL 12 5CTRO', {'entities': [(0, 5, 'TIPO_VIA'), (6, 23, 'NOMBRE_VIA'), (24, 26, 'NUMERO'), (27, 32, 'RESTO')]})
CALLE;DEL BULEVAR SUR;n36;4-DCHA;CALLE DEL BULEVAR SUR n36 4-DCHA;('CALLE DEL BULEVAR SUR n36 4-DCHA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 21, 'NOMBRE_VIA'), (22, 25, 'NUMERO'), (26, 32, 'RESTO')]})
CALLE;DE SAN ANTON;n*16,;6*IZDA;CALLE DE SAN ANTON n*16, 6*IZDA;('CALLE DE SAN ANTON n*16, 6*IZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 18, 'NOMBRE_VIA'), (19, 24, 'NUMERO'), (25, 31, 'RESTO')]})
CALLE;DE PRADILLO;n2;7IZDA;CALLE DE PRADILLO n2 7IZDA;('CALLE DE PRADILLO n2 7IZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 17, 'NOMBRE_VIA'), (18, 20, 'NUMERO'), (21, 26, 'RESTO')]})
CALLE;DEL VENCEJO;nr41;9C;CALLE DEL VENCEJO nr41 9C;('CALLE DEL VENCEJO nr41 9C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 17, 'NOMBRE_VIA'), (18, 22, 'NUMERO'), (23, 25, 'RESTO')]})
CALLE;DE DEYANIRA;n*38;2*D;CALLE DE DEYANIRA n*38 2*D;('CALLE DE DEYANIRA n*38 2*D', {'entities': [(0, 5, 'TIPO_VIA'), (6, 17, 'NOMBRE_VIA'), (18, 22, 'NUMERO'), (23, 26, 'RESTO')]})
AVENIDA;DE MIGUEL HERNANDEZ;nr38;8-D;AVENIDA DE MIGUEL HERNANDEZ nr38 8-D;('AVENIDA DE MIGUEL HERNANDEZ nr38 8-D', {'entities': [(0, 7, 'TIPO_VIA'), (8, 27, 'NOMBRE_VIA'), (28, 32, 'NUMERO'), (33, 36, 'RESTO')]})
CALLE;DEL PINAR DE SAN JOSE;n*25;10 CTRO;CALLE DEL PINAR DE SAN JOSE n*25 10 CTRO;('CALLE DEL PINAR DE SAN JOSE n*25 10 CTRO', {'entities': [(0, 5, 'TIPO_VIA'), (6, 27, 'NOMBRE_VIA'), (28, 32, 'NUMERO'), (33, 40, 'RESTO')]})
CALLE;DEL RIO;n*39;7*A;CALLE DEL RIO n*39 7*A;('CALLE DEL RIO n*39 7*A', {'entities': [(0, 5, 'TIPO_VIA'), (6, 13, 'NOMBRE_VIA'), (14, 18, 'NUMERO'), (19, 22, 'RESTO')]})
CALLE;DE LA ESPIREA;n*3;7-D;CALLE DE LA ESPIREA n*3 7-D;('CALLE DE LA ESPIREA n*3 7-D', {'entities': [(0, 5, 'TIPO_VIA'), (6, 19, 'NOMBRE_VIA'), (20, 23, 'NUMERO'), (24, 27, 'RESTO')]})
CALLE;DE MARIA DE MOLINA;nr48;8*IZDA;CALLE DE MARIA DE MOLINA nr48 8*IZDA;('CALLE DE MARIA DE MOLINA nr48 8*IZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 24, 'NOMBRE_VIA'), (25, 29, 'NUMERO'), (30, 36, 'RESTO')]})
CALLE;DE ALEJANDRO CHACON;50;1ºD;CALLE DE ALEJANDRO CHACON 50 1ºD;('CALLE DE ALEJANDRO CHACON 50 1ºD', {'entities': [(0, 5, 'TIPO_VIA'), (6, 25, 'NOMBRE_VIA'), (26, 28, 'NUMERO'), (29, 32, 'RESTO')]})
CALLE;DE BURJASOT;49;4-C;CALLE DE BURJASOT 49 4-C;('CALLE DE BURJASOT 49 4-C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 17, 'NOMBRE_VIA'), (18, 20, 'NUMERO'), (21, 24, 'RESTO')]})
CALLE;DE MATILDE HERNANDEZ;nr36;2*C;CALLE DE MATILDE HERNANDEZ nr36 2*C;('CALLE DE MATILDE HERNANDEZ nr36 2*C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 26, 'NOMBRE_VIA'), (27, 31, 'NUMERO'), (32, 35, 'RESTO')]})
CALLE;DE VILLABLANCA;nr44;8*A;CALLE DE VILLABLANCA nr44 8*A;('CALLE DE VILLABLANCA nr44 8*A', {'entities': [(0, 5, 'TIPO_VIA'), (6, 20, 'NOMBRE_VIA'), (21, 25, 'NUMERO'), (26, 29, 'RESTO')]})
CALLE;DE GASPAR MORALES;nr16;6 B;CALLE DE GASPAR MORALES nr16 6 B;('CALLE DE GASPAR MORALES nr16 6 B', {'entities': [(0, 5, 'TIPO_VIA'), (6, 23, 'NOMBRE_VIA'), (24, 28, 'NUMERO'), (29, 32, 'RESTO')]})
CALLE;DE SANTANDER;nr19,;7 D;CALLE DE SANTANDER nr19, 7 D;('CALLE DE SANTANDER nr19, 7 D', {'entities': [(0, 5, 'TIPO_VIA'), (6, 18, 'NOMBRE_VIA'), (19, 24, 'NUMERO'), (25, 28, 'RESTO')]})
CALLE;DE CARAMUEL;nr24;3-A;CALLE DE CARAMUEL nr24 3-A;('CALLE DE CARAMUEL nr24 3-A', {'entities': [(0, 5, 'TIPO_VIA'), (6, 17, 'NOMBRE_VIA'), (18, 22, 'NUMERO'), (23, 26, 'RESTO')]})
CALLE;DE SAN AGAPITO;nº11,;2*IZDA;CALLE DE SAN AGAPITO nº11, 2*IZDA;('CALLE DE SAN AGAPITO nº11, 2*IZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 20, 'NOMBRE_VIA'), (21, 26, 'NUMERO'), (27, 33, 'RESTO')]})
CALLE;DEL ESCORPION;n*47;10-D;CALLE DEL ESCORPION n*47 10-D;('CALLE DEL ESCORPION n*47 10-D', {'entities': [(0, 5, 'TIPO_VIA'), (6, 19, 'NOMBRE_VIA'), (20, 24, 'NUMERO'), (25, 29, 'RESTO')]})
CALLE;DEL PLATANO;n*10;1ºC;CALLE DEL PLATANO n*10 1ºC;('CALLE DEL PLATANO n*10 1ºC', {'entities': [(0, 5, 'TIPO_VIA'), (6, 17, 'NOMBRE_VIA'), (18, 22, 'NUMERO'), (23, 26, 'RESTO')]})
CALLE;DE LA REINA DE AFRICA;45,;7*D;CALLE DE LA REINA DE AFRICA 45, 7*D;('CALLE DE LA REINA DE AFRICA 45, 7*D', {'entities': [(0, 5, 'TIPO_VIA'), (6, 27, 'NOMBRE_VIA'), (28, 31, 'NUMERO'), (32, 35, 'RESTO')]})
CALLE;DEL BARON DEL CASTILLO DE CHIREL;n46;1A;CALLE DEL BARON DEL CASTILLO DE CHIREL n46 1A;('CALLE DEL BARON DEL CASTILLO DE CHIREL n46 1A', {'entities': [(0, 5, 'TIPO_VIA'), (6, 38, 'NOMBRE_VIA'), (39, 42, 'NUMERO'), (43, 45, 'RESTO')]})
TRAVESÍA;DEL DESFILADERO;20;8DCHA;TRAVESÍA DEL DESFILADERO 20 8DCHA;('TRAVESÍA DEL DESFILADERO 20 8DCHA', {'entities': [(0, 8, 'TIPO_VIA'), (9, 24, 'NOMBRE_VIA'), (25, 27, 'NUMERO'), (28, 33, 'RESTO')]})
PLAZA;DE LAS OLIVAS;39;9IZDA;PLAZA DE LAS OLIVAS 39 9IZDA;('PLAZA DE LAS OLIVAS 39 9IZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 19, 'NOMBRE_VIA'), (20, 22, 'NUMERO'), (23, 28, 'RESTO')]})
CALLE;DE DRESDE;n28,;7ºC;CALLE DE DRESDE n28, 7ºC;('CALLE DE DRESDE n28, 7ºC', {'entities': [(0, 5, 'TIPO_VIA'), (6, 15, 'NOMBRE_VIA'), (16, 20, 'NUMERO'), (21, 24, 'RESTO')]})
CALLE;DE ZAMARRAMALA;n*49,;2*C;CALLE DE ZAMARRAMALA n*49, 2*C;('CALLE DE ZAMARRAMALA n*49, 2*C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 20, 'NOMBRE_VIA'), (21, 26, 'NUMERO'), (27, 30, 'RESTO')]})
CALLE;DE LA ALMUDENA;nr30;1 DCHA;CALLE DE LA ALMUDENA nr30 1 DCHA;('CALLE DE LA ALMUDENA nr30 1 DCHA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 20, 'NOMBRE_VIA'), (21, 25, 'NUMERO'), (26, 32, 'RESTO')]})
CALLE;DE MAGANGUE;n18;8B;CALLE DE MAGANGUE n18 8B;('CALLE DE MAGANGUE n18 8B', {'entities': [(0, 5, 'TIPO_VIA'), (6, 17, 'NOMBRE_VIA'), (18, 21, 'NUMERO'), (22, 24, 'RESTO')]})
CALLE;DE LA COSTA DEL SOL;7;5*IZDA;CALLE DE LA COSTA DEL SOL 7 5*IZDA;('CALLE DE LA COSTA DEL SOL 7 5*IZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 25, 'NOMBRE_VIA'), (26, 27, 'NUMERO'), (28, 34, 'RESTO')]})
CALLE;DE MIGUEL SERVET;n*7;5 C;CALLE DE MIGUEL SERVET n*7 5 C;('CALLE DE MIGUEL SERVET n*7 5 C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 22, 'NOMBRE_VIA'), (23, 26, 'NUMERO'), (27, 30, 'RESTO')]})
CALLE;DE FRANCISCO DEL PINO;nr11;4 CTRO;CALLE DE FRANCISCO DEL PINO nr11 4 CTRO;('CALLE DE FRANCISCO DEL PINO nr11 4 CTRO', {'entities': [(0, 5, 'TIPO_VIA'), (6, 27, 'NOMBRE_VIA'), (28, 32, 'NUMERO'), (33, 39, 'RESTO')]})
CALLE;DE CACERES;nr40;1*A;CALLE DE CACERES nr40 1*A;('CALLE DE CACERES nr40 1*A', {'entities': [(0, 5, 'TIPO_VIA'), (6, 16, 'NOMBRE_VIA'), (17, 21, 'NUMERO'), (22, 25, 'RESTO')]})
CALLE;DEL HIERRO;nº44;1B;CALLE DEL HIERRO nº44 1B;('CALLE DEL HIERRO nº44 1B', {'entities': [(0, 5, 'TIPO_VIA'), (6, 16, 'NOMBRE_VIA'), (17, 21, 'NUMERO'), (22, 24, 'RESTO')]})
CAMINO;DEL ESTANQUE REPARTIDOR;nº40;5ºCTRO;CAMINO DEL ESTANQUE REPARTIDOR nº40 5ºCTRO;('CAMINO DEL ESTANQUE REPARTIDOR nº40 5ºCTRO', {'entities': [(0, 6, 'TIPO_VIA'), (7, 30, 'NOMBRE_VIA'), (31, 35, 'NUMERO'), (36, 42, 'RESTO')]})
CALLE;DE LA ELECTRONICA;nº14;8*CTRO;CALLE DE LA ELECTRONICA nº14 8*CTRO;('CALLE DE LA ELECTRONICA nº14 8*CTRO', {'entities': [(0, 5, 'TIPO_VIA'), (6, 23, 'NOMBRE_VIA'), (24, 28, 'NUMERO'), (29, 35, 'RESTO')]})
ARROYO;DEL CANALILLO;nr15,;9 DCHA;ARROYO DEL CANALILLO nr15, 9 DCHA;('ARROYO DEL CANALILLO nr15, 9 DCHA', {'entities': [(0, 6, 'TIPO_VIA'), (7, 20, 'NOMBRE_VIA'), (21, 26, 'NUMERO'), (27, 33, 'RESTO')]})
CALLE;DEL ARROYO DEL CHARCO DEL PESCADOR;n*6,;6 IZDA;CALLE DEL ARROYO DEL CHARCO DEL PESCADOR n*6, 6 IZDA;('CALLE DEL ARROYO DEL CHARCO DEL PESCADOR n*6, 6 IZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 40, 'NOMBRE_VIA'), (41, 45, 'NUMERO'), (46, 52, 'RESTO')]})
